Ref_Date,Geography,Measure Type,Measure, Value 
2018/04,Alberta,AISH Client Average Age,Age 50 - 54,"7,517"
2018/04,Alberta,AISH Client Average Age,Age 55 - 59,"9,432"
2018/04,Alberta,AISH Client Average Age,Age 60 - 64,"8,963"
2018/04,Alberta,AISH Client Average Age,Age 65 +,560
2018/04,Alberta,AISH Client Average Age,All Ages Total,"60,213"
2018/04,Alberta,AISH Client Gender,Female,"28,166"
2018/04,Alberta,AISH Client Gender,Male,"32,047"
2018/04,Alberta,AISH Client Gender,All Gender Total,"60,213"
2018/04,Alberta,CSS Regions,Calgary,"16,887"
2018/04,Alberta,CSS Regions,Central,"8,444"
2018/04,Alberta,CSS Regions,Edmonton,"20,997"
2018/04,Alberta,CSS Regions,North Central,"3,902"
2018/04,Alberta,CSS Regions,North East,380
2018/04,Alberta,CSS Regions,North West,"2,843"
2018/04,Alberta,CSS Regions,South,"6,760"
2018/04,Alberta,CSS Regions,All Regions Total,"60,213"
2018/04,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,886"
2018/04,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,807"
2018/05,Alberta,Family Composition,Single Total,"52,499"
2018/05,Alberta,Family Composition,Single Parent Total,"3,497"
2018/05,Alberta,Family Composition,Childless Couples Total,"2,917"
2018/05,Alberta,Family Composition,Couples with Children Total,"1,587"
2018/05,Alberta,Family Composition,All Types Total,"60,500"
2018/05,Alberta,AISH Client Caseload,Straight AISH,"58,219"
2018/05,Alberta,AISH Client Caseload,Modified AISH,"2,108"
2018/05,Alberta,AISH Client Caseload,Com. Residence,173
2018/05,Alberta,AISH Client Caseload,Client Caseload Total,"60,500"
2018/05,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,732"
2018/05,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,390"
2018/05,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,356"
2018/05,Alberta,AISH Client Primary Medical Condition,Unknown,22
2018/05,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"60,500"
2018/05,Alberta,AISH Client Average Age,Age 18 - 19,"1,487"
2018/05,Alberta,AISH Client Average Age,Age 20 - 24,"5,499"
2018/05,Alberta,AISH Client Average Age,Age 25 - 29,"5,615"
2018/05,Alberta,AISH Client Average Age,Age 30 - 34,"5,309"
2018/05,Alberta,AISH Client Average Age,Age 35 - 39,"5,248"
2018/05,Alberta,AISH Client Average Age,Age 40 - 44,"5,004"
2018/05,Alberta,AISH Client Average Age,Age 45 - 49,"5,754"
2018/05,Alberta,AISH Client Average Age,Age 50 - 54,"7,503"
2018/05,Alberta,AISH Client Average Age,Age 55 - 59,"9,479"
2018/05,Alberta,AISH Client Average Age,Age 60 - 64,"9,054"
2018/05,Alberta,AISH Client Average Age,Age 65 +,548
2018/05,Alberta,AISH Client Average Age,All Ages Total,"60,500"
2018/05,Alberta,AISH Client Gender,Female,"28,307"
2018/05,Alberta,AISH Client Gender,Male,"32,193"
2018/05,Alberta,AISH Client Gender,All Gender Total,"60,500"
2018/05,Alberta,CSS Regions,Calgary,"17,026"
2018/05,Alberta,CSS Regions,Central,"8,453"
2018/05,Alberta,CSS Regions,Edmonton,"21,119"
2018/05,Alberta,CSS Regions,North Central,"3,926"
2018/05,Alberta,CSS Regions,North East,386
2018/05,Alberta,CSS Regions,North West,"2,845"
2018/05,Alberta,CSS Regions,South,"6,745"
2018/05,Alberta,CSS Regions,All Regions Total,"60,500"
2018/05,Alberta,AISH Client Income Type Snapshots,Employment Participation,"9,996"
2018/05,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,769"
2018/06,Alberta,Family Composition,Single Total,"52,636"
2018/06,Alberta,Family Composition,Single Parent Total,"3,518"
2018/06,Alberta,Family Composition,Childless Couples Total,"2,927"
2018/06,Alberta,Family Composition,Couples with Children Total,"1,583"
2018/06,Alberta,Family Composition,All Types Total,"60,664"
2018/06,Alberta,AISH Client Caseload,Straight AISH,"58,379"
2018/06,Alberta,AISH Client Caseload,Modified AISH,"2,113"
2018/06,Alberta,AISH Client Caseload,Com. Residence,172
2018/06,Alberta,AISH Client Caseload,Client Caseload Total,"60,664"
2018/06,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,773"
2018/06,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,435"
2018/06,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,434"
2018/06,Alberta,AISH Client Primary Medical Condition,Unknown,22
2018/06,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"60,664"
2018/06,Alberta,AISH Client Average Age,Age 18 - 19,"1,481"
2018/06,Alberta,AISH Client Average Age,Age 20 - 24,"5,514"
2018/06,Alberta,AISH Client Average Age,Age 25 - 29,"5,644"
2018/06,Alberta,AISH Client Average Age,Age 30 - 34,"5,328"
2018/06,Alberta,AISH Client Average Age,Age 35 - 39,"5,247"
2018/06,Alberta,AISH Client Average Age,Age 40 - 44,"5,016"
2018/06,Alberta,AISH Client Average Age,Age 45 - 49,"5,768"
2018/06,Alberta,AISH Client Average Age,Age 50 - 54,"7,497"
2018/06,Alberta,AISH Client Average Age,Age 55 - 59,"9,535"
2018/06,Alberta,AISH Client Average Age,Age 60 - 64,"9,064"
2018/06,Alberta,AISH Client Average Age,Age 65 +,570
2018/06,Alberta,AISH Client Average Age,All Ages Total,"60,664"
2018/06,Alberta,AISH Client Gender,Female,"28,364"
2018/06,Alberta,AISH Client Gender,Male,"32,300"
2018/06,Alberta,AISH Client Gender,All Gender Total,"60,664"
2018/06,Alberta,CSS Regions,Calgary,"17,133"
2018/06,Alberta,CSS Regions,Central,"8,481"
2018/06,Alberta,CSS Regions,Edmonton,"21,140"
2018/06,Alberta,CSS Regions,North Central,"3,921"
2018/06,Alberta,CSS Regions,North East,391
2018/06,Alberta,CSS Regions,North West,"2,842"
2018/06,Alberta,CSS Regions,South,"6,756"
2018/06,Alberta,CSS Regions,All Regions Total,"60,664"
2018/06,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,039"
2018/06,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,766"
2018/07,Alberta,Family Composition,Single Total,"52,769"
2018/07,Alberta,Family Composition,Single Parent Total,"3,528"
2018/07,Alberta,Family Composition,Childless Couples Total,"2,929"
2018/07,Alberta,Family Composition,Couples with Children Total,"1,581"
2018/07,Alberta,Family Composition,All Types Total,"60,807"
2018/07,Alberta,AISH Client Caseload,Straight AISH,"58,523"
2018/07,Alberta,AISH Client Caseload,Modified AISH,"2,114"
2018/07,Alberta,AISH Client Caseload,Com. Residence,170
2018/07,Alberta,AISH Client Caseload,Client Caseload Total,"60,807"
2018/07,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,804"
2018/07,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,479"
2018/07,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,496"
2018/07,Alberta,AISH Client Primary Medical Condition,Unknown,28
2018/07,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"60,807"
2018/07,Alberta,AISH Client Average Age,Age 18 - 19,"1,479"
2018/07,Alberta,AISH Client Average Age,Age 20 - 24,"5,525"
2018/07,Alberta,AISH Client Average Age,Age 25 - 29,"5,672"
2018/07,Alberta,AISH Client Average Age,Age 30 - 34,"5,349"
2018/07,Alberta,AISH Client Average Age,Age 35 - 39,"5,253"
2018/07,Alberta,AISH Client Average Age,Age 40 - 44,"5,041"
2018/07,Alberta,AISH Client Average Age,Age 45 - 49,"5,794"
2018/07,Alberta,AISH Client Average Age,Age 50 - 54,"7,450"
2018/07,Alberta,AISH Client Average Age,Age 55 - 59,"9,574"
2018/07,Alberta,AISH Client Average Age,Age 60 - 64,"9,092"
2018/07,Alberta,AISH Client Average Age,Age 65 +,578
2018/07,Alberta,AISH Client Average Age,All Ages Total,"60,807"
2018/07,Alberta,AISH Client Gender,Female,"28,446"
2018/07,Alberta,AISH Client Gender,Male,"32,361"
2018/07,Alberta,AISH Client Gender,All Gender Total,"60,807"
2018/07,Alberta,CSS Regions,Calgary,"17,220"
2018/07,Alberta,CSS Regions,Central,"8,492"
2018/07,Alberta,CSS Regions,Edmonton,"21,154"
2018/07,Alberta,CSS Regions,North Central,"3,920"
2018/07,Alberta,CSS Regions,North East,396
2018/07,Alberta,CSS Regions,North West,"2,851"
2018/07,Alberta,CSS Regions,South,"6,774"
2018/07,Alberta,CSS Regions,All Regions Total,"60,807"
2018/07,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,065"
2018/07,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,783"
2018/08,Alberta,Family Composition,Single Total,"52,914"
2018/08,Alberta,Family Composition,Single Parent Total,"3,551"
2018/08,Alberta,Family Composition,Childless Couples Total,"2,956"
2018/08,Alberta,Family Composition,Couples with Children Total,"1,565"
2018/08,Alberta,Family Composition,All Types Total,"60,986"
2018/08,Alberta,AISH Client Caseload,Straight AISH,"58,698"
2018/08,Alberta,AISH Client Caseload,Modified AISH,"2,120"
2018/08,Alberta,AISH Client Caseload,Com. Residence,168
2018/08,Alberta,AISH Client Caseload,Client Caseload Total,"60,986"
2018/08,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,882"
2018/08,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,509"
2018/08,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,570"
2018/08,Alberta,AISH Client Primary Medical Condition,Unknown,25
2018/08,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"60,986"
2018/08,Alberta,AISH Client Average Age,Age 18 - 19,"1,470"
2018/08,Alberta,AISH Client Average Age,Age 20 - 24,"5,545"
2018/08,Alberta,AISH Client Average Age,Age 25 - 29,"5,694"
2018/08,Alberta,AISH Client Average Age,Age 30 - 34,"5,358"
2018/08,Alberta,AISH Client Average Age,Age 35 - 39,"5,264"
2018/08,Alberta,AISH Client Average Age,Age 40 - 44,"5,068"
2018/08,Alberta,AISH Client Average Age,Age 45 - 49,"5,807"
2018/08,Alberta,AISH Client Average Age,Age 50 - 54,"7,431"
2018/08,Alberta,AISH Client Average Age,Age 55 - 59,"9,603"
2018/08,Alberta,AISH Client Average Age,Age 60 - 64,"9,149"
2018/08,Alberta,AISH Client Average Age,Age 65 +,597
2018/08,Alberta,AISH Client Average Age,All Ages Total,"60,986"
2018/08,Alberta,AISH Client Gender,Female,"28,561"
2018/08,Alberta,AISH Client Gender,Male,"32,425"
2018/08,Alberta,AISH Client Gender,All Gender Total,"60,986"
2018/08,Alberta,CSS Regions,Calgary,"17,296"
2018/08,Alberta,CSS Regions,Central,"8,510"
2018/08,Alberta,CSS Regions,Edmonton,"21,200"
2018/08,Alberta,CSS Regions,North Central,"3,935"
2018/08,Alberta,CSS Regions,North East,399
2018/08,Alberta,CSS Regions,North West,"2,872"
2018/08,Alberta,CSS Regions,South,"6,774"
2018/08,Alberta,CSS Regions,All Regions Total,"60,986"
2018/08,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,096"
2018/08,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,843"
2018/09,Alberta,Family Composition,Single Total,"52,984"
2018/09,Alberta,Family Composition,Single Parent Total,"3,554"
2018/09,Alberta,Family Composition,Childless Couples Total,"2,955"
2018/09,Alberta,Family Composition,Couples with Children Total,"1,576"
2018/09,Alberta,Family Composition,All Types Total,"61,069"
2018/09,Alberta,AISH Client Caseload,Straight AISH,"58,790"
2018/09,Alberta,AISH Client Caseload,Modified AISH,"2,110"
2018/09,Alberta,AISH Client Caseload,Com. Residence,169
2018/09,Alberta,AISH Client Caseload,Client Caseload Total,"61,069"
2018/09,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,898"
2018/09,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,508"
2018/09,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,638"
2018/09,Alberta,AISH Client Primary Medical Condition,Unknown,25
2018/09,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"61,069"
2018/09,Alberta,AISH Client Average Age,Age 18 - 19,"1,454"
2018/09,Alberta,AISH Client Average Age,Age 20 - 24,"5,552"
2018/09,Alberta,AISH Client Average Age,Age 25 - 29,"5,718"
2018/09,Alberta,AISH Client Average Age,Age 30 - 34,"5,357"
2018/09,Alberta,AISH Client Average Age,Age 35 - 39,"5,289"
2018/09,Alberta,AISH Client Average Age,Age 40 - 44,"5,086"
2018/09,Alberta,AISH Client Average Age,Age 45 - 49,"5,818"
2018/09,Alberta,AISH Client Average Age,Age 50 - 54,"7,409"
2018/09,Alberta,AISH Client Average Age,Age 55 - 59,"9,624"
2018/09,Alberta,AISH Client Average Age,Age 60 - 64,"9,186"
2018/09,Alberta,AISH Client Average Age,Age 65 +,576
2018/09,Alberta,AISH Client Average Age,All Ages Total,"61,069"
2018/09,Alberta,AISH Client Gender,Female,"28,594"
2018/09,Alberta,AISH Client Gender,Male,"32,475"
2018/09,Alberta,AISH Client Gender,All Gender Total,"61,069"
2018/09,Alberta,CSS Regions,Calgary,"17,340"
2018/09,Alberta,CSS Regions,Central,"8,505"
2018/09,Alberta,CSS Regions,Edmonton,"21,230"
2018/09,Alberta,CSS Regions,North Central,"3,932"
2018/09,Alberta,CSS Regions,North East,402
2018/09,Alberta,CSS Regions,North West,"2,888"
2018/09,Alberta,CSS Regions,South,"6,772"
2018/09,Alberta,CSS Regions,All Regions Total,"61,069"
2018/09,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,021"
2018/09,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,869"
2018/10,Alberta,Family Composition,Single Total,"53,184"
2018/10,Alberta,Family Composition,Single Parent Total,"3,560"
2018/10,Alberta,Family Composition,Childless Couples Total,"2,949"
2018/10,Alberta,Family Composition,Couples with Children Total,"1,598"
2018/10,Alberta,Family Composition,All Types Total,"61,291"
2018/10,Alberta,AISH Client Caseload,Straight AISH,"59,006"
2018/10,Alberta,AISH Client Caseload,Modified AISH,"2,118"
2018/10,Alberta,AISH Client Caseload,Com. Residence,167
2018/10,Alberta,AISH Client Caseload,Client Caseload Total,"61,291"
2018/10,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"26,983"
2018/10,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,551"
2018/10,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,726"
2018/10,Alberta,AISH Client Primary Medical Condition,Unknown,31
2018/10,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"61,291"
2018/10,Alberta,AISH Client Average Age,Age 18 - 19,"1,452"
2018/10,Alberta,AISH Client Average Age,Age 20 - 24,"5,570"
2018/10,Alberta,AISH Client Average Age,Age 25 - 29,"5,750"
2018/10,Alberta,AISH Client Average Age,Age 30 - 34,"5,389"
2018/10,Alberta,AISH Client Average Age,Age 35 - 39,"5,345"
2018/10,Alberta,AISH Client Average Age,Age 40 - 44,"5,090"
2018/10,Alberta,AISH Client Average Age,Age 45 - 49,"5,808"
2018/10,Alberta,AISH Client Average Age,Age 50 - 54,"7,431"
2018/10,Alberta,AISH Client Average Age,Age 55 - 59,"9,659"
2018/10,Alberta,AISH Client Average Age,Age 60 - 64,"9,222"
2018/10,Alberta,AISH Client Average Age,Age 65 +,575
2018/10,Alberta,AISH Client Average Age,All Ages Total,"61,291"
2018/10,Alberta,AISH Client Gender,Female,"28,672"
2018/10,Alberta,AISH Client Gender,Male,"32,619"
2018/10,Alberta,AISH Client Gender,All Gender Total,"61,291"
2018/10,Alberta,CSS Regions,Calgary,"17,456"
2018/10,Alberta,CSS Regions,Central,"8,502"
2018/10,Alberta,CSS Regions,Edmonton,"21,301"
2018/10,Alberta,CSS Regions,North Central,"3,933"
2018/10,Alberta,CSS Regions,North East,404
2018/10,Alberta,CSS Regions,North West,"2,893"
2018/10,Alberta,CSS Regions,South,"6,802"
2018/10,Alberta,CSS Regions,All Regions Total,"61,291"
2018/10,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,096"
2018/10,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"13,978"
2018/11,Alberta,Family Composition,Single Total,"53,324"
2018/11,Alberta,Family Composition,Single Parent Total,"3,584"
2018/11,Alberta,Family Composition,Childless Couples Total,"2,957"
2018/11,Alberta,Family Composition,Couples with Children Total,"1,600"
2018/11,Alberta,Family Composition,All Types Total,"61,465"
2018/11,Alberta,AISH Client Caseload,Straight AISH,"59,184"
2018/11,Alberta,AISH Client Caseload,Modified AISH,"2,116"
2018/11,Alberta,AISH Client Caseload,Com. Residence,165
2018/11,Alberta,AISH Client Caseload,Client Caseload Total,"61,465"
2018/11,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"27,048"
2018/11,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,592"
2018/11,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,793"
2018/11,Alberta,AISH Client Primary Medical Condition,Unknown,32
2018/11,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"61,465"
2018/11,Alberta,AISH Client Average Age,Age 18 - 19,"1,436"
2018/11,Alberta,AISH Client Average Age,Age 20 - 24,"5,622"
2018/11,Alberta,AISH Client Average Age,Age 25 - 29,"5,766"
2018/11,Alberta,AISH Client Average Age,Age 30 - 34,"5,410"
2018/11,Alberta,AISH Client Average Age,Age 35 - 39,"5,373"
2018/11,Alberta,AISH Client Average Age,Age 40 - 44,"5,095"
2018/11,Alberta,AISH Client Average Age,Age 45 - 49,"5,845"
2018/11,Alberta,AISH Client Average Age,Age 50 - 54,"7,399"
2018/11,Alberta,AISH Client Average Age,Age 55 - 59,"9,712"
2018/11,Alberta,AISH Client Average Age,Age 60 - 64,"9,278"
2018/11,Alberta,AISH Client Average Age,Age 65 +,529
2018/11,Alberta,AISH Client Average Age,All Ages Total,"61,465"
2018/11,Alberta,AISH Client Gender,Female,"28,730"
2018/11,Alberta,AISH Client Gender,Male,"32,735"
2018/11,Alberta,AISH Client Gender,All Gender Total,"61,465"
2018/11,Alberta,CSS Regions,Calgary,"17,551"
2018/11,Alberta,CSS Regions,Central,"8,532"
2018/11,Alberta,CSS Regions,Edmonton,"21,262"
2018/11,Alberta,CSS Regions,North Central,"3,950"
2018/11,Alberta,CSS Regions,North East,412
2018/11,Alberta,CSS Regions,North West,"2,903"
2018/11,Alberta,CSS Regions,South,"6,855"
2018/11,Alberta,CSS Regions,All Regions Total,"61,465"
2018/11,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,345"
2018/11,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,004"
2018/12,Alberta,Family Composition,Single Total,"53,430"
2018/12,Alberta,Family Composition,Single Parent Total,"3,595"
2018/12,Alberta,Family Composition,Childless Couples Total,"2,936"
2018/12,Alberta,Family Composition,Couples with Children Total,"1,594"
2018/12,Alberta,Family Composition,All Types Total,"61,555"
2018/12,Alberta,AISH Client Caseload,Straight AISH,"59,285"
2018/12,Alberta,AISH Client Caseload,Modified AISH,"2,107"
2018/12,Alberta,AISH Client Caseload,Com. Residence,163
2018/12,Alberta,AISH Client Caseload,Client Caseload Total,"61,555"
2018/12,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"27,051"
2018/12,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,636"
2018/12,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,837"
2018/12,Alberta,AISH Client Primary Medical Condition,Unknown,31
2018/12,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"61,555"
2018/12,Alberta,AISH Client Average Age,Age 18 - 19,"1,399"
2018/12,Alberta,AISH Client Average Age,Age 20 - 24,"5,659"
2018/12,Alberta,AISH Client Average Age,Age 25 - 29,"5,772"
2018/12,Alberta,AISH Client Average Age,Age 30 - 34,"5,387"
2018/12,Alberta,AISH Client Average Age,Age 35 - 39,"5,421"
2018/12,Alberta,AISH Client Average Age,Age 40 - 44,"5,092"
2018/12,Alberta,AISH Client Average Age,Age 45 - 49,"5,882"
2018/12,Alberta,AISH Client Average Age,Age 50 - 54,"7,358"
2018/12,Alberta,AISH Client Average Age,Age 55 - 59,"9,736"
2018/12,Alberta,AISH Client Average Age,Age 60 - 64,"9,319"
2018/12,Alberta,AISH Client Average Age,Age 65 +,530
2018/12,Alberta,AISH Client Average Age,All Ages Total,"61,555"
2018/12,Alberta,AISH Client Gender,Female,"28,778"
2018/12,Alberta,AISH Client Gender,Male,"32,777"
2018/12,Alberta,AISH Client Gender,All Gender Total,"61,555"
2018/12,Alberta,CSS Regions,Calgary,"17,650"
2018/12,Alberta,CSS Regions,Central,"8,550"
2018/12,Alberta,CSS Regions,Edmonton,"21,214"
2018/12,Alberta,CSS Regions,North Central,"3,959"
2018/12,Alberta,CSS Regions,North East,411
2018/12,Alberta,CSS Regions,North West,"2,924"
2018/12,Alberta,CSS Regions,South,"6,847"
2018/12,Alberta,CSS Regions,All Regions Total,"61,555"
2018/12,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,250"
2018/12,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,086"
2019/01,Alberta,Family Composition,Single Total,"53,996"
2019/01,Alberta,Family Composition,Single Parent Total,"3,649"
2019/01,Alberta,Family Composition,Childless Couples Total,"2,980"
2019/01,Alberta,Family Composition,Couples with Children Total,"1,622"
2019/01,Alberta,Family Composition,All Types Total,"62,247"
2019/01,Alberta,AISH Client Caseload,Straight AISH,"59,942"
2019/01,Alberta,AISH Client Caseload,Modified AISH,"2,143"
2019/01,Alberta,AISH Client Caseload,Com. Residence,162
2019/01,Alberta,AISH Client Caseload,Client Caseload Total,"62,247"
2019/01,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"27,376"
2019/01,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"18,850"
2019/01,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"15,992"
2019/01,Alberta,AISH Client Primary Medical Condition,Unknown,29
2019/01,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"62,247"
2019/01,Alberta,AISH Client Average Age,Age 18 - 19,"1,451"
2019/01,Alberta,AISH Client Average Age,Age 20 - 24,"5,693"
2019/01,Alberta,AISH Client Average Age,Age 25 - 29,"5,846"
2019/01,Alberta,AISH Client Average Age,Age 30 - 34,"5,446"
2019/01,Alberta,AISH Client Average Age,Age 35 - 39,"5,483"
2019/01,Alberta,AISH Client Average Age,Age 40 - 44,"5,165"
2019/01,Alberta,AISH Client Average Age,Age 45 - 49,"5,947"
2019/01,Alberta,AISH Client Average Age,Age 50 - 54,"7,399"
2019/01,Alberta,AISH Client Average Age,Age 55 - 59,"9,803"
2019/01,Alberta,AISH Client Average Age,Age 60 - 64,"9,445"
2019/01,Alberta,AISH Client Average Age,Age 65 +,569
2019/01,Alberta,AISH Client Average Age,All Ages Total,"62,247"
2019/01,Alberta,AISH Client Gender,Female,"29,064"
2019/01,Alberta,AISH Client Gender,Male,"33,183"
2019/01,Alberta,AISH Client Gender,All Gender Total,"62,247"
2019/01,Alberta,CSS Regions,Calgary,"17,866"
2019/01,Alberta,CSS Regions,Central,"8,644"
2019/01,Alberta,CSS Regions,Edmonton,"21,368"
2019/01,Alberta,CSS Regions,North Central,"4,016"
2019/01,Alberta,CSS Regions,North East,415
2019/01,Alberta,CSS Regions,North West,"2,972"
2019/01,Alberta,CSS Regions,South,"6,966"
2019/01,Alberta,CSS Regions,All Regions Total,"62,247"
2019/01,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,238"
2019/01,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,132"
2019/02,Alberta,Family Composition,Single Total,"54,415"
2019/02,Alberta,Family Composition,Single Parent Total,"3,675"
2019/02,Alberta,Family Composition,Childless Couples Total,"3,033"
2019/02,Alberta,Family Composition,Couples with Children Total,"1,622"
2019/02,Alberta,Family Composition,All Types Total,"62,745"
2019/02,Alberta,AISH Client Caseload,Straight AISH,"60,435"
2019/02,Alberta,AISH Client Caseload,Modified AISH,"2,151"
2019/02,Alberta,AISH Client Caseload,Com. Residence,159
2019/02,Alberta,AISH Client Caseload,Client Caseload Total,"62,745"
2019/02,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"27,592"
2019/02,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"19,017"
2019/02,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"16,124"
2019/02,Alberta,AISH Client Primary Medical Condition,Unknown,12
2019/02,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"62,745"
2019/02,Alberta,AISH Client Average Age,Age 18 - 19,"1,467"
2019/02,Alberta,AISH Client Average Age,Age 20 - 24,"5,756"
2019/02,Alberta,AISH Client Average Age,Age 25 - 29,"5,885"
2019/02,Alberta,AISH Client Average Age,Age 30 - 34,"5,504"
2019/02,Alberta,AISH Client Average Age,Age 35 - 39,"5,534"
2019/02,Alberta,AISH Client Average Age,Age 40 - 44,"5,225"
2019/02,Alberta,AISH Client Average Age,Age 45 - 49,"5,986"
2019/02,Alberta,AISH Client Average Age,Age 50 - 54,"7,410"
2019/02,Alberta,AISH Client Average Age,Age 55 - 59,"9,856"
2019/02,Alberta,AISH Client Average Age,Age 60 - 64,"9,537"
2019/02,Alberta,AISH Client Average Age,Age 65 +,585
2019/02,Alberta,AISH Client Average Age,All Ages Total,"62,745"
2019/02,Alberta,AISH Client Gender,Female,"29,302"
2019/02,Alberta,AISH Client Gender,Male,"33,443"
2019/02,Alberta,AISH Client Gender,All Gender Total,"62,745"
2019/02,Alberta,CSS Regions,Calgary,"17,996"
2019/02,Alberta,CSS Regions,Central,"8,713"
2019/02,Alberta,CSS Regions,Edmonton,"21,605"
2019/02,Alberta,CSS Regions,North Central,"4,037"
2019/02,Alberta,CSS Regions,North East,425
2019/02,Alberta,CSS Regions,North West,"2,983"
2019/02,Alberta,CSS Regions,South,"6,986"
2019/02,Alberta,CSS Regions,All Regions Total,"62,745"
2019/02,Alberta,AISH Client Income Type Snapshots,Employment Participation,"10,105"
2019/02,Alberta,AISH Client Income Type Snapshots,CPP(D) income,"14,109"
2019/03,Alberta,Family Composition,Single Total,"54,968"
2019/03,Alberta,Family Composition,Single Parent Total,"3,740"
2019/03,Alberta,Family Composition,Childless Couples Total,"3,098"
2019/03,Alberta,Family Composition,Couples with Children Total,"1,647"
2019/03,Alberta,Family Composition,All Types Total,"63,453"
2019/03,Alberta,AISH Client Caseload,Straight AISH,"61,132"
2019/03,Alberta,AISH Client Caseload,Modified AISH,"2,162"
2019/03,Alberta,AISH Client Caseload,Com. Residence,159
2019/03,Alberta,AISH Client Caseload,Client Caseload Total,"63,453"
2019/03,Alberta,AISH Client Primary Medical Condition,Physical Disabilities,"27,963"
2019/03,Alberta,AISH Client Primary Medical Condition,Mental Illness Disorders,"19,244"
2019/03,Alberta,AISH Client Primary Medical Condition,Cognitive Disorders,"16,229"
2019/03,Alberta,AISH Client Primary Medical Condition,Unknown,17
2019/03,Alberta,AISH Client Primary Medical Condition,All Primary Medical Total,"63,453"
2019/03,Alberta,AISH Client Average Age,Age 18 - 19,"1,484"
2019/03,Alberta,AISH Client Average Age,Age 20 - 24,"5,810"
2019/03,Alberta,AISH Client Average Age,Age 25 - 29,"5,961"
2019/03,Alberta,AISH Client Average Age,Age 30 - 34,"5,555"
2019/03,Alberta,AISH Client Average Age,Age 35 - 39,"5,580"
2019/03,Alberta,AISH Client Average Age,Age 40 - 44,"5,299"
2019/03,Alberta,AISH Client Average Age,Age 45 - 49,"6,041"
2019/03,Alberta,AISH Client Average Age,Age 50 - 54,"7,482"
2019/03,Alberta,AISH Client Average Age,Age 55 - 59,"9,952"
